[2013-10-16 19:37:55] EDIT HW1/controllers/default.py: 1
[2013-10-16 19:38:09] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:38:11] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:39:10] EDIT HW1/controllers/default.py: 2
[2013-10-16 19:39:53] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:39:54] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:39:56] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:40:15] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:41:16] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:42:57] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:44:52] EDIT HW1/models/table.py: -1
[2013-10-16 19:45:44] EDIT HW1/models/table.py: 0
[2013-10-16 19:45:54] EDIT HW1/models/table.py: 0
[2013-10-16 19:46:47] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:46:54] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:46:59] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:47:44] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:49:05] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:53:13] EDIT HW1/views/default/index.html: 0
[2013-10-16 19:55:12] EDIT HW1/controllers/default.py: 0
[2013-10-16 20:03:00] EDIT HW1/controllers/default.py: 5
[2013-10-16 20:03:04] EDIT HW1/controllers/default.py: 0
[2013-10-16 20:04:32] EDIT HW1/controllers/default.py: 1
[2013-10-16 20:05:01] EDIT HW1/controllers/default.py: 0
[2013-10-16 20:06:12] EDIT HW1/controllers/default.py: 2
[2013-10-16 20:06:52] EDIT HW1/controllers/default.py: 0
[2013-10-16 20:07:14] EDIT HW1/controllers/default.py: 0
[2013-10-16 20:09:13] EDIT HW1/controllers/default.py: 3
[2013-10-16 20:09:15] EDIT HW1/controllers/default.py: 0
[2013-10-16 20:20:19] EDIT HW1/controllers/default.py: 0
[2013-10-16 20:20:56] EDIT HW1/controllers/default.py: 0
[2013-10-16 20:21:14] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:13:44] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:13:46] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:17:13] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:45:30] EDIT HW1/views/add.html: -2
[2013-10-16 21:47:27] EDIT HW1/controllers/default.py: 2
[2013-10-16 21:48:47] EDIT HW1/views/add.html: -1
[2013-10-16 21:49:54] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:50:07] EDIT HW1/views/default/index.html: 1
[2013-10-16 21:50:51] EDIT HW1/views/default/index.html: -1
[2013-10-16 21:52:27] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:53:11] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:53:26] EDIT HW1/views/default/index.html: 1
[2013-10-16 21:54:10] EDIT HW1/views/default/index.html: 0
[2013-10-16 21:58:26] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:58:32] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:58:34] EDIT HW1/controllers/default.py: 0
[2013-10-16 21:58:57] EDIT HW1/views/default/index.html: 0
[2013-10-16 22:00:13] EDIT HW1/controllers/default.py: 0
[2013-10-16 22:00:15] EDIT HW1/views/default/index.html: 0
[2013-10-16 22:00:23] EDIT HW1/controllers/default.py: 0
[2013-10-16 22:00:58] CREATE view.html: 0
[2013-10-16 22:01:15] EDIT HW1/views/view.html: -1
[2013-10-16 22:01:55] EDIT HW1/views/view.html: 0
[2013-10-16 22:02:11] EDIT HW1/views/default/index.html: -1
[2013-10-16 22:02:57] EDIT HW1/controllers/default.py: 0
[2013-10-16 22:03:17] EDIT HW1/controllers/default.py: 0
[2013-10-16 22:03:20] EDIT HW1/controllers/default.py: 0
[2013-10-16 22:08:28] EDIT HW1/controllers/default.py: -3
[2013-10-16 22:08:41] EDIT HW1/controllers/default.py: -1
[2013-10-16 22:08:49] EDIT HW1/controllers/default.py: 0
